ชื่อคนหาโจทย์,โจทย์,สมการคณิตศาสตร์,คำตอบที่ถูกต้อง,คำตอบของ ChatGPT,เนื้อหา,chatGPTตอบถูกต้อง,โจทย์ภาษาอังกฤษ ChatGPT,คำตอบของโจทย์ภาษาอังกฤษ,chatGPTตอบโจทย์ภาษาอังกฤษถูกต้อง
ฐนียา,สุนิสาจะต้องมีเหรียญสองบาทกี่เหรียญ จึงจะแลกธนบัตรใบละหนึ่งพันบาทได้ 1 ฉบับ,1000/2,500 เหรียญ,500 เหรียญ,เงินตรา,yes,"To exchange a 1,000 baht banknote for 1 coin, how many 2 baht coins does Sunisa need?",500 coins,yes
ฐนียา,คุณพ่ออายุ 45 ปี 7 เดือน คุณแม่อ่อนกว่าคุณพ่อ 4 ปี 10 เดือน คุณแม่อายุเท่าไร,"(44-4),(12+7-10)",40 ปี 9 เดือน,40 ปี 9 เดือน,เวลา,yes,"Your father is 45 years and 7 months old, and your mother is younger than your father by 4 years and 10 months. How old is your mother?",40 years and 9 months old,yes
ฐนียา,ผ้าผืนหนึ่งมีพื้นที่ 678 ตารางเซนติเมตร ตัดเป็นรูปสี่เหลี่ยมกว้าง 5 เซนติเมตร ยาว 12 เซนติเมตร ขนาดเท่ากันให้ได้มากที่สุด จะเหลือผ้าเท่าไร,678-(INT(678/(12*5))*(12*5)),18 ตารางเซนติเมตร,618 ตารางเซนติเมตร,พื้นที่,no,"One piece of fabric has an area of 678 square centimeters. When cut into a rectangle with a width of 5 centimeters and a length of 12 centimeters, to maximize the size, how much fabric will be left?",18 square centimeters,yes
นพนันท์,"ชายชราต้องการซื้อลาจำนวนสิบตัวราคา 21,000 บาท แต่มีเงินเพียง
17,500 บาท ชายชราต้องหาเงินเพิ่มอีกเท่าไร",21000-17500,3500 บาท,3500 บาท,เงินตรา,yes,"The elderly man wants to buy a clock, priced at 21,000 baht, but he only has 17,500 baht. How much more money does the elderly man need to find?","3,500 baht.",yes
นพนันท์,"วันนี้ลาแกล้งล้มทำเกลือหกในลำธาร 5,760 กิโลกรัม ซึ่งน้อยกว่า
เมื่อวานอยู่ 1,470 กิโลกรัม เมื่อวานลาทำเกลือหกกี่กิโลกรัม",5760+1470,7230 กิโลกรัม,4290 กิโลกรัม,ชั่งตวง,no,"Today, La fell and made 5,760 kilograms of salt in the river, which is less than the 1,470 kilograms he made yesterday. How many kilograms of salt did La make yesterday?",1470 killograms,no
นพนันท์,"เจมส์ได้รับเงินจากการขายข้าวเป็นเงิน  140,000 บาท  ขายข้าวโพดเป็นเงิน 269,400 บาท และขายฝ้ายเป็นเงิน  25,000  บาท  เจมส์ขายข้าวขายข้าวโพดได้เงินมากกว่าเงินที่ได้จากการขายข้าวและขายฝ้ายรวมกันเท่าไร",269400-(140000+25000),104400 บาท,104400 บาท,เงินตรา,yes,"James received 140,000 baht from selling rice, 269,400 baht from selling corn, and 25,000 baht from selling silk. How much more money did James make from selling rice and corn combined compared to the money he made from selling rice and silk?","244,400 baht ",no
นพนันท์,"ร้านค้ามีสมุด 4,368 เล่ม  ซื้อมาเพิ่มอีก 2,200 เล่ม ขายไปเล่มละ 15  บาท  ถ้าขายหมดร้านค้าจะได้เงินเท่าไร
",(4368+2200)*15,98520 บาท,98520 บาท,เงินตรา,yes,"The store has 4,368 books and purchased an additional 2,200 books. If each book is sold for 15 baht, how much money will the store receive if all the books are sold?","98,520 baht",yes
นพนันท์,"นงลักษณ์มีลูกปัด 1,255 เม็ด สุมาลีมีลูกปัด 1,685 เม็ด นำมารวมกันเพื่อแบ่งใส่ถุง 
ถุงละ 60 เม็ด จะใส่ได้กี่ถุง",(1255+1685)/60,49 ถุง,49 ถุง,ชั่งตวง,yes,"Nonglak has 1,255 beads and Sumalee has 1,685 beads. They are combined to be divided into bags, with each bag containing 60 beads. How many bags can they fill?",49 bags,yes
นพนันท์,แม่ค้าขายส้มโอ  475 ผล  ราคาผลละ 35 บาท  ขายทุเรียน 175 กิโลกรัม  ราคากิโลกรัมละ 25 บาท  แม่ค้าขายผลไม้ได้เงินทั้งหมดเท่าไร,(475*35)+(175*25),21000 บาท,21000 บาท,เงินตรา,yes,The fruit seller sells 475 oranges at a price of 35 baht per orange and 175 kilograms of durian at a price of 25 baht per kilogram. How much money does the fruit seller make in total,"21,000 baht ",yes
นพนันท์,นุ้ยใช้เวลาในการเรียนนาน 8 ชั่วโมงต่อวัน ใน 1 สัปดาห์ นุ้ยใช้เวลาเรียนทั้งหมดกี่ชั่วโมง,(8*7),56 ชั่วโมง,56 ชั่วโมง,เวลา,yes,"If Nui spends 8 hours studying per day, for 1 week (7 days), how many total hours does Nui spend studying?",56 hours,yes
นพนันท์,เอิร์ทเดินทางออกจากกรุงเทพมหานคร เวลา 7.30 น. ถึงจังหวัดนครศรีธรรมราช เวลา 18.05 น. เอิร์ทใช้เวลาเดินทางจากกรุงเทพมหานครถึงนครศรีธรรมราชนานเท่าไร,((18*60)+5)-((7*60)+30),10 ชั่วโมง 35 นาที,10 ชั่วโมง 35 นาที,เวลา,yes,"
Erth traveled from Bangkok, departing at 7:30 a.m., and arrived in Nakhon Si Thammarat at 6:05 p.m. How long did Erth take to travel from Bangkok to Nakhon Si Thammarat?",18 hours + 35 minutes,no
นพนันท์,"อาย, แจ๋น, และเฟิร์สออกจากบ้านเวลา 6.00 น. แล้วได้ขึ้นรถเดินทางไปทำงานโดยรถประจำทางใช้เวลา 75 นาที จากนั้นเปลี่ยนไปขึ้นเรือโดยสารใช้เวลา 15 นาที และขึ้นรถมอเตอร์ไซต์รับจ้างใช้เวลา 10 นาที อาย, แจ๋น, และเฟิร์สจะถึงที่ทำงานเป็นเวลาเท่าไร?",((6*60)+(75+15+10))/60,7:40 น.,7:40 น.,เวลา,yes,"Ay, Jane, and First left home at 6:00 a.m. They took a bus to work, which took 75 minutes. Then, they switched to a passenger boat, which took 15 minutes. Lastly, they rode a motorcycle taxi, which took 10 minutes. What time will Ay, Jane, and First arrive at work?",7:40 A.M.,yes
นพนันท์,มุซันสั่งให้อสูรจันทรา 12 ตัว ไปขายประกันให้หน่วยพิฆาตอสูร โดยอสูรจันทราแต่ละคนต้องขายประกันให้ได้ 500 คน อสูรจันทราทั้งหมดต้องขายประกันทั้งหมดกี่คน?,12*500,6000 คน,6000 คน,จำนวน,yes,"""Moonsan ordered 12 Genie soldiers to sell insurance to the execution unit, with each Genie soldier required to sell insurance to 500 people. How many people do all the Genie soldiers have to sell insurance to in total?"""," 6,000 people",yes
นพนันท์,ม่อนและเต๋าใช้เวลาออกกำลังกาย สัปดาห์ที่1 ใช้เวลา 7 ชั่วโมง 33 นาที สัปดาห์ที่2 ใช้เวลา 6 ชั่วโมง 19 นาที รวมแล้ว ม่อนและเต๋าใช้เวลาออกกำลังกายทั้งหมดกี่นาที,((7*60)+33)+((6*60)+19),832 นาที,832 นาที,เวลา,yes,"Moan and Tae spend time exercising. In week 1, Moan spends 7 hours and 33 minutes, while in week 2, Tae spends 6 hours and 19 minutes. In total, how many minutes do Moan and Tae spend exercising?",832 minutes,yes
วีรเทพ,อาคารแห่งหนึ่งสูง 18 ชั้น แต่ละชั้นใช้กระจกทำหน้าต่าง ชั้นละ 400แผ่น อาคารแห่งนี้ใช้กระจกทำหน้าต่างทั้งหมดกี่แผ่น,18*400,7200 แผ่น,7200 แผ่น,พื้นที่,yes,There is a building with 18 floors. Each floor has 400 glass windows. How many glass windows are there in total in this building?,7200 glass,yes
วีรเทพ,พ่อสะสมธนบัตร ฉบับละ 50 บาท จำนวน 274 ฉบับ พ่อมีเงินทั้งหมดกี่บาท,50*274,13700 บาท,13700 บาท,เงินตรา,yes,"Father has collected banknotes, each worth 50 baht. There are 274 banknotes. How much money does Father have in total?",13700 baht,yes
วีรเทพ,โรงละครจัดการแสดงละครแห่งหนึ่ง มีผู้เข้าชมการแสดงละคร รอบละ 325 คน ค่าบัตรเข้าชมการแสดงละคร คนละ 150 บาท อยากทราบว่าถ้าโรงละครแห่งนี้เปิดการแสดงละคร 3 รอบ จะได้เงินจากการขายบัตรทั้งหมดกี่บาท,325*150*3,146250 บาท,146250 บาท,เงินตรา,yes,"There is a theater that organizes a drama performance. Each round of the performance has an audience of 325 people, and the ticket price for the drama performance is 150 baht per person. I would like to know how much money the theater would earn from selling tickets if they hold the drama performance for 3 rounds.",146250 baht,yes
วีรเทพ,ครูมีลูกชุบจำนวน 1480 ชิ้น แจกให้นักเรียน 5 ห้อง ห้องละเท่าๆกัน แต่ละห้องมีนักเรียน 37 คน นักเรียนแต่ละคนจะได้รับลูกชุบคนละกี่ชิ้น,1480 / (37*5),8 ชิ้น,8 ชิ้น,การแบ่งของ,yes,"The teacher has 1,480 pieces of candy and distributes them to students in 5 classrooms, with each classroom having an equal number of students. Each classroom has 37 students. How many pieces of candy will each student receive?",8 pieces,yes
วีรเทพ,พื้นห้องน้ำเป็นรูปสี่เหลี่ยมผืนผ้า กว้าง 2 เมตร ยาว 4 เมตร มีความยาวรอบพื้นห้องน้ำกี่เมตร,(2*2) + (2*4),12 เมตร,12 เมตร,พื้นที่,yes,The floor of the bathroom is a rectangular shape with a width of 2 meters and a length of 4 meters. What is the perimeter of the bathroom floor?,12 meters,yes
